DeliveryID,OrderID,DeliveryPartnerName,PickupTime,DeliveryEndTime,DistanceTraveled
7192,3192,Karan Mehta,55:03.4,03:03.4,6.97
7193,3193,Simran Kaur,35:03.4,48:03.4,6.51
7194,3194,Vikram Verma,28:03.4,41:03.4,5.88
7195,3195,Amit Singh,44:03.4,52:03.4,4.77
7196,3196,Amit Singh,20:03.4,28:03.4,3.88
7197,3197,Priya Das,17:03.4,30:03.4,6.96
7198,3198,Rohit Sharma,26:03.4,39:03.4,9.06
7199,3199,Arjun Nair,50:03.4,08:03.4,3.06
7200,3200,Rahul Jain,37:03.4,55:03.4,4.4
7201,3201,Priya Das,42:03.4,05:03.4,4.56
7202,3202,Simran Kaur,53:03.4,06:03.4,7.3
7203,3203,Divya Rao,16:03.4,29:03.4,9.22
7204,3204,Rahul Jain,11:03.4,34:03.4,7.37
7205,3205,Divya Rao,29:03.4,47:03.4,9.69
7206,3206,Vikram Verma,37:03.4,50:03.4,4.53
7207,3207,Karan Mehta,48:03.4,58:03.4,7.28
7208,3208,Karan Mehta,50:03.4,08:03.4,2.81
7209,3209,Vikram Verma,52:03.4,15:03.4,3.77
7210,3210,Priya Das,27:03.4,50:03.4,6.68
7211,3211,Divya Rao,24:03.4,47:03.4,4.3
7212,3212,Priya Das,51:03.4,14:03.4,4.08
7213,3213,Divya Rao,45:03.4,03:03.4,4.39
7214,3214,Arjun Nair,15:03.4,38:03.4,3.53
7215,3215,Priya Das,14:03.4,37:03.4,4.77
7216,3216,Arjun Nair,15:03.4,25:03.4,3.99
7217,3217,Amit Singh,05:03.4,23:03.4,6.6
7218,3218,Sneha Patil,34:03.4,47:03.4,9.89
7219,3219,Amit Singh,21:03.4,29:03.4,2.06
7220,3220,Vikram Verma,53:03.4,01:03.4,9.4
7221,3221,Priya Das,10:03.4,28:03.4,5.1
7222,3222,Amit Singh,01:03.4,14:03.4,2.98
7223,3223,Divya Rao,48:03.4,11:03.4,2.08
7224,3224,Amit Singh,47:03.4,10:03.4,3.43
7225,3225,Amit Singh,44:03.4,02:03.4,3.7
7226,3226,Arjun Nair,09:03.4,19:03.4,7.84
7227,3227,Amit Singh,03:03.4,21:03.4,2.34
7228,3228,Priya Das,04:03.4,12:03.4,3.4
7229,3229,Sneha Patil,36:03.4,49:03.4,7.75
7230,3230,Divya Rao,20:03.4,30:03.4,3.71
7231,3231,Amit Singh,50:03.4,58:03.4,7.29
7232,3232,Amit Singh,13:03.4,26:03.4,5.36
7233,3233,Rahul Jain,54:03.4,17:03.4,4.74
7234,3234,Amit Singh,36:03.4,49:03.4,9.28
7235,3235,Vikram Verma,21:03.4,39:03.4,7.53
7236,3236,Karan Mehta,17:03.4,25:03.4,3.42
7237,3237,Rohit Sharma,28:03.4,38:03.4,6.96
7238,3238,Amit Singh,20:03.4,30:03.4,5.88
7239,3239,Sneha Patil,18:03.4,41:03.4,6.29
7240,3240,Rahul Jain,27:03.4,40:03.4,7.88
7241,3241,Rohit Sharma,54:03.4,04:03.4,9.88
7242,3242,Rohit Sharma,49:03.4,07:03.4,2.6
7243,3243,Simran Kaur,56:03.4,14:03.4,4.39
7244,3244,Vikram Verma,12:03.4,22:03.4,9.25
7245,3245,Arjun Nair,42:03.4,00:03.4,7.24
7246,3246,Vikram Verma,51:03.4,01:03.4,8.15
7247,3247,Sneha Patil,45:03.4,58:03.4,7.36
7248,3248,Amit Singh,51:03.4,59:03.4,2.63
7249,3249,Simran Kaur,43:03.4,06:03.4,9.56
7250,3250,Rahul Jain,28:03.4,38:03.4,2.12
7251,3251,Rohit Sharma,44:03.4,57:03.4,5.76
7252,3252,Arjun Nair,44:03.4,57:03.4,3.82
7253,3253,Vikram Verma,14:03.4,22:03.4,8.64
7254,3254,Rohit Sharma,19:03.4,42:03.4,8.07
7255,3255,Amit Singh,37:03.4,55:03.4,3.53
7256,3256,Vikram Verma,49:03.4,02:03.4,2.84
7257,3257,Sneha Patil,42:03.4,50:03.4,4.89
7258,3258,Divya Rao,10:03.4,18:03.4,4.03
7259,3259,Rohit Sharma,20:03.4,38:03.4,9.66
7260,3260,Rahul Jain,03:03.4,11:03.4,3.81
7261,3261,Amit Singh,36:03.4,54:03.4,3.11
7262,3262,Vikram Verma,49:03.4,02:03.4,6.28
7263,3263,Rahul Jain,36:03.4,46:03.4,2.6
7264,3264,Arjun Nair,47:03.4,55:03.4,2.6
7265,3265,Arjun Nair,31:03.4,44:03.4,3.07
7266,3266,Simran Kaur,27:03.4,37:03.4,9.9
7267,3267,Arjun Nair,09:03.4,19:03.4,3.31
7268,3268,Rahul Jain,23:03.4,46:03.4,4.87
7269,3269,Divya Rao,20:03.4,33:03.4,4.98
7270,3270,Arjun Nair,26:03.4,39:03.4,6.76
7271,3271,Vikram Verma,40:03.4,53:03.4,6.02
7272,3272,Rohit Sharma,38:03.4,01:03.4,8.18
7273,3273,Vikram Verma,07:03.4,15:03.4,3.53
7274,3274,Sneha Patil,48:03.4,11:03.4,5.06
7275,3275,Divya Rao,42:03.4,00:03.4,2.79
7276,3276,Rohit Sharma,27:03.4,37:03.4,9.9
7277,3277,Karan Mehta,36:03.4,49:03.4,2.19
7278,3278,Karan Mehta,32:03.4,42:03.4,2.92
7279,3279,Rahul Jain,28:03.4,38:03.4,9.56
7280,3280,Rohit Sharma,07:03.4,15:03.4,4.4
7281,3281,Arjun Nair,12:03.4,25:03.4,9.95
7282,3282,Sneha Patil,53:03.4,11:03.4,1.61
7283,3283,Karan Mehta,31:03.4,41:03.4,4.94
7284,3284,Vikram Verma,01:03.4,14:03.4,4.05
7285,3285,Amit Singh,55:03.4,05:03.4,2.93
7286,3286,Vikram Verma,31:03.4,44:03.4,6.7
7287,3287,Simran Kaur,33:03.4,41:03.4,9.01
7288,3288,Simran Kaur,58:03.4,16:03.4,5.21
7289,3289,Divya Rao,34:03.4,57:03.4,4.92
7290,3290,Rahul Jain,58:03.4,11:03.4,9.78
7291,3291,Amit Singh,07:03.4,15:03.4,6.25
7292,3292,Karan Mehta,57:03.4,20:03.4,5.23
7293,3293,Simran Kaur,08:03.4,16:03.4,3.8
7294,3294,Simran Kaur,00:03.4,10:03.4,9.27
7295,3295,Karan Mehta,36:03.4,49:03.4,5.43
7296,3296,Karan Mehta,14:03.4,27:03.4,1.95
7297,3297,Karan Mehta,20:03.4,43:03.4,6.72
7298,3298,Vikram Verma,57:03.4,10:03.4,7.56
7299,3299,Simran Kaur,08:03.4,16:03.4,1.8
7300,3300,Amit Singh,22:03.4,35:03.4,4.7
7301,3301,Karan Mehta,00:03.4,18:03.4,3.46
7302,3302,Amit Singh,00:03.4,13:03.4,5.67
7303,3303,Arjun Nair,08:03.4,16:03.4,2.35
7304,3304,Rahul Jain,28:03.4,51:03.4,6.07
7305,3305,Simran Kaur,46:03.4,56:03.4,8.43
7306,3306,Vikram Verma,14:03.4,37:03.4,2.39
7307,3307,Vikram Verma,11:03.4,21:03.4,8.89
7308,3308,Divya Rao,01:03.4,11:03.4,3.43
7309,3309,Sneha Patil,54:03.4,12:03.4,2.48
7310,3310,Amit Singh,26:03.4,39:03.4,1.82
7311,3311,Amit Singh,48:03.4,58:03.4,4.88
7312,3312,Vikram Verma,59:03.4,22:03.4,2.91
7313,3313,Rahul Jain,55:03.4,05:03.4,9.45
7314,3314,Divya Rao,22:03.4,40:03.4,1.5
7315,3315,Rohit Sharma,08:03.4,18:03.4,4.08
7316,3316,Sneha Patil,27:03.4,40:03.4,10
7317,3317,Karan Mehta,21:03.4,31:03.4,2.84
7318,3318,Rohit Sharma,40:03.4,53:03.4,5.08
7319,3319,Karan Mehta,52:03.4,05:03.4,3.37
7320,3320,Sneha Patil,42:03.4,05:03.4,3.27
7321,3321,Priya Das,18:03.4,36:03.4,4.51
7322,3322,Rahul Jain,41:03.4,59:03.4,8.95
7323,3323,Rohit Sharma,58:03.4,08:03.4,8.62
7324,3324,Karan Mehta,15:03.4,33:03.4,7.79
7325,3325,Divya Rao,34:03.4,47:03.4,9.06
7326,3326,Rohit Sharma,46:03.4,04:03.4,1.91
7327,3327,Arjun Nair,02:03.4,25:03.4,5.67
7328,3328,Rohit Sharma,32:03.4,50:03.4,6.13
7329,3329,Karan Mehta,40:03.4,53:03.4,2.53
7330,3330,Rahul Jain,01:03.4,19:03.4,7.66
7331,3331,Arjun Nair,30:03.4,53:03.4,2.92
7332,3332,Rohit Sharma,24:03.4,47:03.4,1.66
7333,3333,Rohit Sharma,26:03.4,34:03.4,3.98
7334,3334,Priya Das,58:03.4,21:03.4,4.62
7335,3335,Simran Kaur,54:03.4,04:03.4,1.84
7336,3336,Rohit Sharma,41:03.4,59:03.4,5.51
7337,3337,Sneha Patil,50:03.4,03:03.4,3.39
7338,3338,Amit Singh,27:03.4,40:03.4,6.18
7339,3339,Amit Singh,05:03.4,13:03.4,3.6
7340,3340,Simran Kaur,07:03.4,15:03.4,9.4
7341,3341,Karan Mehta,00:03.4,18:03.4,5.66
7342,3342,Arjun Nair,39:03.4,49:03.4,9.78
7343,3343,Rahul Jain,09:03.4,32:03.4,8.74
7344,3344,Rahul Jain,19:03.4,27:03.4,3.02
7345,3345,Rohit Sharma,15:03.4,23:03.4,9.02
7346,3346,Divya Rao,27:03.4,37:03.4,3.05
7347,3347,Vikram Verma,09:03.4,22:03.4,4.03
7348,3348,Rohit Sharma,27:03.4,45:03.4,3.52
7349,3349,Amit Singh,46:03.4,04:03.4,2.02
7350,3350,Karan Mehta,41:03.4,04:03.4,3.16
7351,3351,Rohit Sharma,29:03.4,47:03.4,3.4
7352,3352,Divya Rao,36:03.4,54:03.4,1.8
7353,3353,Divya Rao,06:03.4,19:03.4,3.8
7354,3354,Rohit Sharma,14:03.4,27:03.4,6.08
7355,3355,Rohit Sharma,06:03.4,29:03.4,5.79
7356,3356,Rahul Jain,46:03.4,59:03.4,7.2
7357,3357,Arjun Nair,07:03.4,25:03.4,8.93
7358,3358,Amit Singh,16:03.4,34:03.4,5.07
7359,3359,Sneha Patil,18:03.4,36:03.4,6.6
7360,3360,Priya Das,59:03.4,12:03.4,3.54
7361,3361,Rahul Jain,42:03.4,05:03.4,4.87
7362,3362,Sneha Patil,35:03.4,45:03.4,3.14
7363,3363,Arjun Nair,23:03.4,31:03.4,8.21
7364,3364,Rahul Jain,53:03.4,01:03.4,3.53
7365,3365,Sneha Patil,28:03.4,38:03.4,7.96
7366,3366,Arjun Nair,04:03.4,27:03.4,7.63
7367,3367,Rahul Jain,22:03.4,32:03.4,7.82
7368,3368,Priya Das,15:03.4,25:03.4,4.13
7369,3369,Sneha Patil,24:03.4,32:03.4,7.83
7370,3370,Divya Rao,11:03.4,24:03.4,3.62
7371,3371,Simran Kaur,52:03.4,05:03.4,9.55
7372,3372,Sneha Patil,00:03.4,10:03.4,7.99
7373,3373,Simran Kaur,26:03.4,44:03.4,2.86
7374,3374,Vikram Verma,04:03.4,22:03.4,2.81
7375,3375,Sneha Patil,45:03.4,58:03.4,1.98
7376,3376,Simran Kaur,19:03.4,42:03.4,8.36
7377,3377,Priya Das,04:03.4,12:03.4,6.49
7378,3378,Divya Rao,17:03.4,30:03.4,7.16
7379,3379,Amit Singh,12:03.4,25:03.4,3.87
7380,3380,Karan Mehta,43:03.4,06:03.4,8.99
7381,3381,Karan Mehta,15:03.4,23:03.4,5.22
7382,3382,Priya Das,51:03.4,14:03.4,4.48
7383,3383,Vikram Verma,42:03.4,05:03.4,5.62
7384,3384,Simran Kaur,32:03.4,40:03.4,8.32
7385,3385,Vikram Verma,55:03.4,05:03.4,8.35
7386,3386,Rahul Jain,29:03.4,42:03.4,1.98
7387,3387,Priya Das,39:03.4,52:03.4,1.55
7388,3388,Rahul Jain,05:03.4,15:03.4,7.78
7389,3389,Karan Mehta,51:03.4,14:03.4,9.55
7390,3390,Amit Singh,53:03.4,11:03.4,3.55
7391,3391,Arjun Nair,12:03.4,35:03.4,7.9
7392,3392,Simran Kaur,37:03.4,00:03.4,7.89
7393,3393,Divya Rao,07:03.4,25:03.4,8.9
7394,3394,Karan Mehta,40:03.4,03:03.4,3.86
7395,3395,Simran Kaur,04:03.4,17:03.4,2.72
7396,3396,Arjun Nair,14:03.4,22:03.4,7.19
7397,3397,Rohit Sharma,25:03.4,38:03.4,8.71
7398,3398,Arjun Nair,51:03.4,04:03.4,4.08
7399,3399,Rohit Sharma,11:03.4,24:03.4,5.5
7400,3400,Vikram Verma,53:03.4,06:03.4,4.06
7401,3401,Arjun Nair,25:03.4,35:03.4,9.15
7402,3402,Karan Mehta,47:03.4,00:03.4,3.54
7403,3403,Karan Mehta,04:03.4,12:03.4,6.75
7404,3404,Karan Mehta,19:03.4,42:03.4,6.46
7405,3405,Arjun Nair,17:03.4,40:03.4,8.25
7406,3406,Amit Singh,38:03.4,56:03.4,9.18
7407,3407,Simran Kaur,29:03.4,52:03.4,2.18
7408,3408,Rahul Jain,05:03.4,13:03.4,5.95
7409,3409,Rohit Sharma,00:03.4,18:03.4,6.74
7410,3410,Simran Kaur,16:03.4,29:03.4,5.58
7411,3411,Priya Das,52:03.4,05:03.4,8.46
7412,3412,Rahul Jain,21:03.4,31:03.4,2.3
7413,3413,Sneha Patil,44:03.4,52:03.4,7.44
7414,3414,Simran Kaur,44:03.4,07:03.4,4.41
7415,3415,Sneha Patil,35:03.4,53:03.4,2.39
7416,3416,Amit Singh,42:03.4,55:03.4,3.84
7417,3417,Simran Kaur,46:03.4,56:03.4,3.86
7418,3418,Rahul Jain,30:03.4,43:03.4,5.98
7419,3419,Simran Kaur,38:03.4,48:03.4,8.71
7420,3420,Priya Das,52:03.4,02:03.4,7.66
7421,3421,Vikram Verma,45:03.4,08:03.4,5.84
7422,3422,Amit Singh,02:03.4,20:03.4,6.26
7423,3423,Simran Kaur,38:03.4,48:03.4,9.41
7424,3424,Rahul Jain,06:03.4,24:03.4,5.03
7425,3425,Karan Mehta,08:03.4,18:03.4,3.35
7426,3426,Priya Das,37:03.4,50:03.4,4.01
7427,3427,Arjun Nair,50:03.4,03:03.4,5.2
7428,3428,Sneha Patil,06:03.4,24:03.4,5.11
7429,3429,Rahul Jain,43:03.4,06:03.4,2.49
7430,3430,Arjun Nair,50:03.4,13:03.4,9.32
7431,3431,Rahul Jain,02:03.4,15:03.4,3.91
7432,3432,Simran Kaur,26:03.4,44:03.4,4.51
7433,3433,Sneha Patil,45:03.4,08:03.4,7.54
7434,3434,Arjun Nair,19:03.4,29:03.4,8.9
7435,3435,Divya Rao,21:03.4,44:03.4,4.59
7436,3436,Simran Kaur,17:03.4,27:03.4,2.86
7437,3437,Vikram Verma,25:03.4,38:03.4,4.51
7438,3438,Arjun Nair,49:03.4,02:03.4,2.27
7439,3439,Vikram Verma,40:03.4,58:03.4,9.95
7440,3440,Amit Singh,20:03.4,30:03.4,8.16
7441,3441,Sneha Patil,40:03.4,48:03.4,7.93
7442,3442,Priya Das,07:03.4,17:03.4,9.72
7443,3443,Sneha Patil,45:03.4,53:03.4,6.14
7444,3444,Arjun Nair,39:03.4,57:03.4,8.29
7445,3445,Sneha Patil,00:03.4,18:03.4,2.77
7446,3446,Simran Kaur,34:03.4,52:03.4,3.66
7447,3447,Karan Mehta,22:03.4,32:03.4,1.62
7448,3448,Karan Mehta,15:03.4,28:03.4,3.08
7449,3449,Karan Mehta,52:03.4,15:03.4,7.79
7450,3450,Divya Rao,35:03.4,58:03.4,6.81
7451,3451,Rohit Sharma,50:03.4,03:03.4,3.38
7452,3452,Sneha Patil,27:03.4,45:03.4,5.06
7453,3453,Rohit Sharma,59:03.4,17:03.4,9.89
7454,3454,Karan Mehta,17:03.4,30:03.4,8.19
7455,3455,Amit Singh,19:03.4,27:03.4,6.03
7456,3456,Priya Das,11:03.4,21:03.4,8.4
7457,3457,Arjun Nair,56:03.4,06:03.4,2.27
7458,3458,Rohit Sharma,48:03.4,56:03.4,5.2
7459,3459,Priya Das,34:03.4,52:03.4,3.79
7460,3460,Sneha Patil,14:03.4,27:03.4,4.42
7461,3461,Vikram Verma,18:03.4,31:03.4,5.89
7462,3462,Karan Mehta,29:03.4,52:03.4,8.48
7463,3463,Priya Das,51:03.4,09:03.4,2.15
7464,3464,Vikram Verma,36:03.4,59:03.4,5.68
7465,3465,Rohit Sharma,08:03.4,31:03.4,2.03
7466,3466,Amit Singh,51:03.4,09:03.4,3.41
7467,3467,Simran Kaur,14:03.4,37:03.4,7.34
7468,3468,Sneha Patil,37:03.4,50:03.4,3.24
